epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9254,3.06399,3.93639,3.9049,0.00405,0.08333,0.00275,0.00069,2.9651,4.81285,3.59978,1.429e-05,1.429e-05,1.429e-05
2,41.9726,3.14687,4.10066,3.49187,0.007,0.13889,0.00668,0.0017,2.9495,4.71768,3.61164,4.20212e-05,4.20212e-05,4.20212e-05
3,59.0701,2.97711,4.07458,3.29296,0.00962,0.16667,0.01942,0.00628,2.85191,4.52874,3.53304,6.86206e-05,6.86206e-05,6.86206e-05
4,76.6031,2.86501,4.05435,3.41577,0.0201,0.20425,0.05934,0.02054,2.64692,4.27934,3.41851,9.40882e-05,9.40882e-05,9.40882e-05
5,92.8617,2.8581,3.83725,3.08699,0.77632,0.08333,0.09013,0.04366,2.48776,4.09844,3.30423,0.000118424,0.000118424,0.000118424
6,116.387,2.77751,3.62065,3.30271,0.82422,0.13889,0.13941,0.07199,2.36527,3.86234,3.18552,0.000141628,0.000141628,0.000141628
7,135.159,2.70591,3.92847,3.12963,0.84524,0.19444,0.14486,0.07107,2.23218,3.67348,3.02504,0.000163701,0.000163701,0.000163701
8,159.552,2.14545,3.62458,3.12876,0.83752,0.25,0.18547,0.08695,2.12953,3.53039,2.89699,0.000184641,0.000184641,0.000184641
9,185.5,2.31811,3.12566,3.05668,0.91134,0.22222,0.24328,0.10475,2.0944,3.47004,2.84745,0.00020445,0.00020445,0.00020445
10,204.446,1.92405,3.06294,2.79416,0.90216,0.22222,0.26081,0.11252,2.06801,3.39311,2.82174,0.000223127,0.000223127,0.000223127
11,222.846,2.54078,3.61293,2.78805,0.92035,0.16667,0.24872,0.11135,2.04388,3.30492,2.78382,0.000240672,0.000240672,0.000240672
12,239.993,1.92398,2.5838,2.74292,0.94796,0.16667,0.27491,0.12072,1.97435,3.20576,2.77735,0.000257086,0.000257086,0.000257086
13,259.608,2.71384,3.25397,3.24833,0.49042,0.22222,0.27824,0.1191,1.97521,3.08102,2.77237,0.000272367,0.000272367,0.000272367
14,277.999,2.19914,2.8569,2.89829,0.55567,0.26673,0.30984,0.12891,1.95873,2.94567,2.73438,0.000286517,0.000286517,0.000286517
15,295.568,2.02102,2.812,2.90891,0.61907,0.29739,0.30226,0.13591,1.95915,2.85387,2.66843,0.000299536,0.000299536,0.000299536
16,315.377,2.17863,2.62409,2.83344,0.60732,0.29739,0.28956,0.13591,1.92836,2.8776,2.62265,0.000311422,0.000311422,0.000311422
17,334.205,2.15832,2.72754,2.61598,0.63738,0.29739,0.33382,0.16322,1.9052,2.89664,2.58628,0.000322177,0.000322177,0.000322177
18,356.365,2.10549,2.47153,2.46766,0.55014,0.37274,0.36913,0.19484,1.86785,2.82292,2.56744,0.0003318,0.0003318,0.0003318
19,376.93,1.93767,2.43465,2.72024,0.58103,0.36601,0.3999,0.20927,1.83343,2.69932,2.54911,0.000340291,0.000340291,0.000340291
20,393.641,1.82381,2.84528,3.54052,0.60076,0.38562,0.4145,0.21325,1.80073,2.54991,2.5181,0.00034765,0.00034765,0.00034765
21,417.004,2.09123,2.26757,2.59567,0.60251,0.41503,0.44113,0.20981,1.79366,2.43998,2.5002,0.000353878,0.000353878,0.000353878
22,435.217,1.91045,2.2227,2.70919,0.6592,0.41007,0.48823,0.23396,1.78511,2.33081,2.49026,0.000358973,0.000358973,0.000358973
23,452.351,1.79798,2.07532,3.05304,0.29943,0.5433,0.47508,0.2334,1.74481,2.24768,2.47441,0.000362937,0.000362937,0.000362937
24,469.892,1.77892,1.90252,2.61664,0.3306,0.5433,0.50139,0.25744,1.67692,2.19559,2.49256,0.00036577,0.00036577,0.00036577
25,487.479,1.76566,2.14987,2.80298,0.35239,0.59477,0.51869,0.28461,1.63717,2.19533,2.52719,0.00036747,0.00036747,0.00036747
26,510.171,1.79727,2.04803,2.80132,0.41384,0.60216,0.529,0.28879,1.62935,2.20069,2.55104,0.000368039,0.000368039,0.000368039
27,527.461,2.28868,2.67571,4.13769,0.49209,0.64943,0.60027,0.30538,1.64938,2.1218,2.5653,0.000367476,0.000367476,0.000367476
28,544.983,1.47746,1.79515,2.7714,0.49209,0.64943,0.60027,0.30538,1.64938,2.1218,2.5653,0.000365781,0.000365781,0.000365781
29,563.442,1.52752,2.11608,2.74122,0.69968,0.58579,0.62561,0.3272,1.64539,1.98729,2.55704,0.000362955,0.000362955,0.000362955
30,580.439,1.85648,2.06505,2.59905,0.62996,0.61822,0.67246,0.33995,1.63752,1.84555,2.53398,0.000358996,0.000358996,0.000358996
31,602.672,1.76941,2.1932,2.87574,0.62996,0.61822,0.67246,0.33995,1.63752,1.84555,2.53398,0.000353906,0.000353906,0.000353906
32,621.47,1.8014,1.84205,2.31617,0.67576,0.6426,0.66822,0.36996,1.54441,1.73429,2.46731,0.000347684,0.000347684,0.000347684
33,641.502,1.46351,1.67278,2.32641,0.80414,0.60583,0.72162,0.41599,1.46988,1.62927,2.41813,0.000340331,0.000340331,0.000340331
34,661.148,1.54052,1.57334,2.54398,0.80414,0.60583,0.72162,0.41599,1.46988,1.62927,2.41813,0.000331845,0.000331845,0.000331845
35,689.54,1.72121,1.84437,2.73785,0.86524,0.61816,0.78589,0.46398,1.41029,1.59789,2.38579,0.000322228,0.000322228,0.000322228
36,708.805,1.55361,1.55802,2.12687,0.80464,0.61077,0.7649,0.46598,1.41111,1.58609,2.3489,0.000311479,0.000311479,0.000311479
37,726.546,1.55397,1.77926,2.37923,0.80464,0.61077,0.7649,0.46598,1.41111,1.58609,2.3489,0.000299598,0.000299598,0.000299598
38,744.775,1.50776,2.00186,2.80144,0.7324,0.72357,0.79386,0.49612,1.39001,1.53929,2.33137,0.000286586,0.000286586,0.000286586
39,768.422,1.41083,1.61964,2.72691,0.70293,0.71358,0.78159,0.47928,1.39821,1.46628,2.36945,0.000272442,0.000272442,0.000272442
40,786.723,1.52471,1.46285,2.34257,0.70293,0.71358,0.78159,0.47928,1.39821,1.46628,2.36945,0.000257166,0.000257166,0.000257166
41,805.385,1.33461,2.27888,2.85136,0.7992,0.71895,0.78583,0.4974,1.36395,1.39749,2.3772,0.000240758,0.000240758,0.000240758
42,829.38,1.44454,1.73072,2.26894,0.79052,0.68137,0.79747,0.49902,1.33109,1.36679,2.33328,0.000223218,0.000223218,0.000223218
43,847.855,1.44751,1.55989,2.42863,0.79052,0.68137,0.79747,0.49902,1.33109,1.36679,2.33328,0.000204547,0.000204547,0.000204547
44,866.28,1.3862,1.53118,2.14729,0.88299,0.66292,0.80597,0.53085,1.29915,1.3447,2.29626,0.000184744,0.000184744,0.000184744
45,885.309,1.41321,1.63068,2.73631,0.88299,0.66292,0.80597,0.53085,1.29915,1.3447,2.29626,0.000163809,0.000163809,0.000163809
46,904.514,1.13527,1.46422,2.74377,0.89138,0.66592,0.81499,0.54792,1.2843,1.33483,2.24265,0.000141743,0.000141743,0.000141743
47,928.987,1.49235,1.59384,2.07847,0.89138,0.66592,0.81499,0.54792,1.2843,1.33483,2.24265,0.000118544,0.000118544,0.000118544
48,947.736,1.47776,1.59334,2.29852,0.88615,0.6611,0.81716,0.54143,1.26739,1.33104,2.22792,9.4214e-05,9.4214e-05,9.4214e-05
49,965.627,1.4055,1.54697,2.62145,0.88615,0.6611,0.81716,0.54143,1.26739,1.33104,2.22792,6.8752e-05,6.8752e-05,6.8752e-05
50,983.983,1.66953,1.7865,2.40275,0.92118,0.63399,0.82604,0.53082,1.2601,1.32399,2.22359,4.21584e-05,4.21584e-05,4.21584e-05
